"id","abbr","name","regi"
"1","ZH","Zürich","Zürich Schaffhausen"
"2","BE","Bern","Bern Freiburg Wallis"
"3","LU","Luzern","Zentralschweiz"
"4","UR","Uri","Zentralschweiz"
"5","SZ","Schwyz","Zentralschweiz"
"6","OW","Obwalden","Zentralschweiz"
"7","NW","Nidwalden","Zentralschweiz"
"8","GL","Glarus","Ostschweiz"
"9","ZG","Zug","Zentralschweiz"
"10","FR","Freiburg","Bern Freiburg Wallis"
"11","SO","Solothurn","Aargau Solothurn"
"12","BS","Basel-Stadt","Basel Baselland"
"13","BL","Basel-Landschaft","Basel Baselland"
"14","SH","Schaffhausen","Zürich Schaffhausen"
"15","AR","Appenzell A. Rh.","Ostschweiz"
"16","AI","Appenzell I. Rh.","Ostschweiz"
"17","SG","St. Gallen","Ostschweiz"
"18","GR","Graubünden","Graubünden"
"19","AG","Aargau","Aargau Solothurn"
"20","TG","Thurgau","Ostschweiz"
"21","TI","Tessin","RSI"
"22","VD","Waadt","RTS"
"23","VS","Wallis","Bern Freiburg Wallis"
"24","NE","Neuenburg","RTS"
"25","GE","Genf","RTS"
"26","JU","Jura","RTS"
