BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
101;Bezirk Affoltern;1;4;11302;671862;686462;229137;245396;678300;235900;380;914;561;557;2671862;2686462;1229137;1245396;2678300;1235900
102;Bezirk Andelfingen;1;4;16651;684956;704388;264720;283343;693200;274000;342;694;437;426;2684956;2704388;1264720;1283343;2693200;1274000
103;Bezirk Bülach;1;4;18489;676551;693523;250961;276522;684800;263000;332;691;466;451;2676551;2693523;1250961;1276522;2684800;1263000
104;Bezirk Dielsdorf;1;4;15284;669244;684518;252441;269583;676400;260000;331;864;484;461;2669244;2684518;1252441;1269583;2676400;1260000
105;Bezirk Hinwil;1;4;17949;697374;716900;233458;248313;707300;240300;439;1291;685;644;2697374;2716900;1233458;1248313;2707300;1240300
106;Bezirk Horgen;1;4;10425;680480;696544;223896;243298;688500;231800;404;1227;600;596;2680480;2696544;1223896;1243298;2688500;1231800
107;Bezirk Meilen;1;4;8464;685078;703422;232272;245507;689600;241000;404;852;559;548;2685078;2703422;1232272;1245507;2689600;1241000
108;Bezirk Pfäffikon;1;4;16316;691820;713652;243859;258390;702700;249300;453;1072;635;626;2691820;2713652;1243859;1258390;2702700;1249300
109;Bezirk Uster;1;4;11223;686407;700227;236811;254014;696700;244100;426;845;502;480;2686407;2700227;1236811;1254014;2696700;1244100
110;Bezirk Winterthur;1;4;25176;687928;712737;251095;272191;700800;262200;369;890;528;508;2687928;2712737;1251095;1272191;2700800;1262200
111;Bezirk Dietikon;1;4;6011;669737;679229;241971;254508;674700;248700;378;799;483;475;2669737;2679229;1241971;1254508;2674700;1248700
112;Bezirk Zürich;1;4;8793;676224;689665;241584;254306;679500;249400;391;869;487;456;2676224;2689665;1241584;1254306;2679500;1249400
241;Arrondissement administratif Jura bernois;2;2;54173;556241;610093;212185;243834;580400;227800;429;1606;964;968;2556241;2610093;1212185;1243834;2580400;1227800
242;Verwaltungskreis Biel/Bienne;2;2;9759;575815;596458;211621;228480;587300;220800;422;1197;539;465;2575815;2596458;1211621;1228480;2587300;1220800
243;Verwaltungskreis Seeland;2;2;33397;568553;604428;202124;226634;587600;211800;424;821;491;472;2568553;2604428;1202124;1226634;2587600;1211800
244;Verwaltungskreis Oberaargau;2;2;33081;610705;634285;210714;238152;624100;225600;399;1231;585;550;2610705;2634285;1210714;1238152;2624100;1225600
245;Verwaltungskreis Emmental;2;2;69041;605003;639362;181694;224162;622800;204100;450;2196;805;787;2605003;2639362;1181694;1224162;2622800;1204100
246;Verwaltungskreis Bern-Mittelland;2;2;94625;572871;622384;168849;219079;601800;193800;448;2186;749;671;2572871;2622384;1168849;1219079;2601800;1193800
247;Verwaltungskreis Thun;2;2;32197;601204;632773;169610;187310;609000;176600;535;2190;943;897;2601204;2632773;1169610;1187310;2609000;1176600
248;Verwaltungskreis Obersimmental-Saanen;2;2;57488;581086;608972;130585;167180;594000;147300;793;3247;1657;1619;2581086;2608972;1130585;1167180;2594000;1147300
249;Verwaltungskreis Frutigen-Niedersimmental;2;2;77364;594691;631091;139997;174544;613900;157000;557;3694;1663;1640;2594691;2631091;1139997;1174544;2613900;1157000
250;Verwaltungskreis Interlaken-Oberhasli;2;2;122929;623433;677745;147409;182848;649600;167300;556;4271;1907;1888;2623433;2677745;1147409;1182848;2649600;1167300
311;Wahlkreis Luzern-Stadt;3;6;2911;658323;675204;205685;215024;664300;212000;419;1124;505;491;2658323;2675204;1205685;1215024;2664300;1212000
312;Wahlkreis Luzern-Land;3;6;18757;652360;681764;201632;221523;659300;207500;403;2074;737;628;2652360;2681764;1201632;1221523;2659300;1207500
313;Wahlkreis Hochdorf;3;6;17740;658916;673331;212970;237691;666100;223800;398;878;557;523;2658916;2673331;1212970;1237691;2666100;1223800
314;Wahlkreis Sursee;3;6;27306;643580;661767;210498;234867;652600;216000;450;866;634;634;2643580;2661767;1210498;1234867;2652600;1216000
315;Wahlkreis Willisau;3;6;33743;630127;648996;206022;236889;639400;221000;434;1401;670;646;2630127;2648996;1206022;1236889;2639400;1221000
316;Wahlkreis Entlebuch;3;6;42459;631826;655294;180569;214777;643700;197200;509;2348;1108;1055;2631826;2655294;1180569;1214777;2643700;1197200
400;Uri (KT);4;6;105732;673344;715795;153452;204705;690900;180400;429;3628;1928;1990;2673344;2715795;1153452;1204705;2690900;1180400
501;Bezirk Einsiedeln;5;6;9893;694482;709971;213304;226109;698300;220000;782;1613;1061;1014;2694482;2709971;1213304;1226109;2698300;1220000
502;Bezirk Gersau;5;6;1435;678900;685262;204715;209111;682800;206600;435;1698;977;994;2678900;2685262;1204715;1209111;2682800;1206600
503;Bezirk Höfe;5;6;3760;694120;703628;222918;229369;698500;226600;405;1205;688;685;2694120;2703628;1222918;1229369;2698500;1226600
504;Bezirk Küssnacht (SZ);5;6;2937;672166;679649;211331;218653;677700;214900;414;1796;642;541;2672166;2679649;1211331;1218653;2677700;1214900
505;Bezirk March;5;6;17674;702736;718719;208678;230760;711200;221600;404;2294;949;943;2702736;2718719;1208678;1230760;2711200;1221600
