GMDNR;GMDNAME;BZNR;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
1;Aeugst am Albis;101;1;4;791;678110;681154;234561;238544;679300;235700;532;886;684;673;699;2678110;2681154;1234561;1238544;2679300;1235700
10;Obfelden;101;1;4;754;672793;676118;232987;237091;675100;235300;383;520;439;439;452;2672793;2676118;1232987;1237091;2675100;1235300
100;Stadel;104;1;4;1289;675396;679920;263209;268199;677500;264700;362;637;462;439;434;2675396;2679920;1263209;1268199;2677500;1264700
1001;Doppleschwand;316;3;6;695;645094;647808;205150;209224;646900;207700;594;970;759;752;750;2645094;2647808;1205150;1209224;2646900;1207700
1002;Entlebuch;316;3;6;5690;643451;655294;193732;209554;647600;204800;587;1910;1062;1000;721;2643451;2655294;1193732;1209554;2647600;1204800
1004;Flühli;316;3;6;10817;638864;648253;180569;196637;644000;192600;779;2348;1378;1363;883;2638864;2648253;1180569;1196637;2644000;1192600
1005;Hasle (LU);316;3;6;4031;643992;653050;194039;205547;646600;203400;663;2038;1138;1116;717;2643992;2653050;1194039;1205547;2646600;1203400
1007;Romoos;316;3;6;3739;638764;647083;202209;209671;644800;206900;604;1371;953;951;787;2638764;2647083;1202209;1209671;2644800;1206900
1008;Schüpfheim;316;3;6;3838;638672;648135;195573;203422;644200;200400;689;1977;969;923;726;2638672;2648135;1195573;1203422;2644200;1200400
1009;Werthenstein;316;3;6;1580;647623;654069;206388;212064;650400;211600;509;976;705;700;578;2647623;2654069;1206388;1212064;2650400;1211600
101;Steinmaur;104;1;4;939;673274;678291;259495;263532;676600;261500;410;798;498;484;464;2673274;2678291;1259495;1263532;2676600;1261500
1010;Escholzmatt-Marbach;316;3;6;10640;631826;643948;183293;203482;637800;196000;744;2090;1085;1037;856;2631826;2643948;1183293;1203482;2637800;1196000
102;Weiach;104;1;4;958;673449;677523;265632;269583;675200;267800;331;623;436;425;382;2673449;2677523;1265632;1269583;2675200;1267800
1021;Aesch (LU);313;3;6;461;659329;662530;232935;236204;660800;234200;448;639;487;466;479;2659329;2662530;1232935;1236204;2660800;1234200
1022;Altwis;313;3;6;293;660489;662721;231551;233478;661600;232200;452;634;520;498;487;2660489;2662721;1231551;1233478;2661600;1232200
1023;Ballwil;313;3;6;877;665989;670048;220233;223694;666900;222800;431;529;492;495;503;2665989;2670048;1220233;1223694;2666900;1222800
1024;Emmen;313;3;6;2037;659610;668289;212970;218233;664800;214100;414;562;460;441;430;2659610;2668289;1212970;1218233;2664800;1214100
1025;Ermensee;313;3;6;569;659001;661895;229012;232333;660700;231000;454;715;517;479;466;2659001;2661895;1229012;1232333;2660700;1231000
1026;Eschenbach (LU);313;3;6;1321;663829;669116;217649;221966;666900;220500;412;541;477;482;468;2663829;2669116;1217649;1221966;2666900;1220500
1030;Hitzkirch;313;3;6;2468;658916;666635;226282;234198;662500;230800;448;877;620;614;502;2658916;2666635;1226282;1234198;2662500;1230800
1031;Hochdorf;313;3;6;963;662665;666443;220848;227379;664500;224500;462;537;488;490;489;2662665;2666443;1220848;1227379;2664500;1224500
1032;Hohenrain;313;3;6;2324;662464;669750;222866;230654;666700;225900;463;850;604;579;606;2662464;2669750;1222866;1230654;2666700;1225900
1033;Inwil;313;3;6;1032;667842;673331;218444;222092;669200;219500;398;550;453;433;420;2667842;2673331;1218444;1222092;2669200;1219500
1037;Rain;313;3;6;942;660062;664857;218855;222401;661900;220000;495;641;564;566;588;2660062;2664857;1218855;1222401;2661900;1220000
1039;Römerswil;313;3;6;1660;659230;664362;221510;229353;661200;224600;462;807;622;624;724;2659230;2664362;1221510;1229353;2661200;1224600
1040;Rothenburg;313;3;6;1550;660047;666222;215213;219516;663000;216600;427;592;522;527;501;2660047;2666222;1215213;1219516;2663000;1216600
1041;Schongau;313;3;6;1243;660710;665200;233322;237691;662500;235600;527;878;706;707;681;2660710;2665200;1233322;1237691;2662500;1235600
1051;Adligenswil;312;3;6;699;668500;672601;212172;215489;670300;213700;457;750;587;580;535;2668500;2672601;1212172;1215489;2670300;1213700
1052;Buchrain;312;3;6;480;667503;670355;215626;218697;669000;216500;411;483;429;419;460;2667503;2670355;1215626;1218697;2669000;1216500
1053;Dierikon;312;3;6;278;669811;672171;215214;217404;670800;216700;414;770;510;503;427;2669811;2672171;1215214;1217404;2670800;1216700
1054;Ebikon;312;3;6;968;664708;670420;212757;216438;668600;215000;414;694;470;457;422;2664708;2670420;1212757;1216438;2668600;1215000
1055;Gisikon;312;3;6;108;672574;674000;219275;220692;672900;220000;405;645;503;497;426;2672574;2674000;1219275;1220692;2672900;1220000
1056;Greppen;312;3;6;332;673071;677746;211169;213198;675300;212000;433;1374;621;494;453;2673071;2677746;1211169;1213198;2675300;1212000
1057;Honau;312;3;6;125;672899;674210;219731;221523;673400;220700;403;652;470;448;443;2672899;2674210;1219731;1221523;2673400;1220700
1058;Horw;312;3;6;1286;662327;670695;204605;209940;666300;207900;422;1280;536;461;439;2662327;2670695;1204605;1209940;2666300;1207900
1059;Kriens;312;3;6;2730;658704;665889;204197;210976;663800;209600;442;1471;783;756;486;2658704;2665889;1204197;1210976;2663800;1209600
1061;Luzern;311;3;6;2911;658323;675220;205685;215024;666200;211800;419;1124;488;464;435;2658323;2675220;1205685;1215024;2666200;1211800
1062;Malters;312;3;6;2857;652510;661532;206947;213649;656700;209800;454;919;586;575;503;2652510;2661532;1206947;1213649;2656700;1209800
1063;Meggen;312;3;6;727;668776;673934;208075;213484;671000;211000;427;652;483;447;479;2668776;2673934;1208075;1213484;2671000;1211000
1064;Meierskappel;312;3;6;680;674085;680075;217113;220497;676200;219800;413;794;509;474;497;2674085;2680075;1217113;1220497;2676200;1219800
1065;Root;312;3;6;865;669629;674491;216686;219773;672300;218700;407;838;531;449;426;2669629;2674491;1216686;1219773;2672300;1218700
1066;Schwarzenberg;312;3;6;3930;652360;660783;201632;208961;655900;207600;587;2074;1089;1027;832;2652360;2660783;1201632;1208961;2655900;1207600
1067;Udligenswil;312;3;6;622;671282;674540;213732;218259;673100;215900;525;839;653;637;616;2671282;2674540;1213732;1218259;2673100;1215900
1068;Vitznau;312;3;6;891;677547;681764;205462;210753;679500;207200;433;1684;827;773;445;2677547;2681764;1205462;1210753;2679500;1207200
1069;Weggis;312;3;6;1179;670695;679191;207202;211977;675700;209500;431;1658;587;434;435;2670695;2679191;1207202;1211977;2675700;1209500
1081;Beromünster;314;3;6;4212;652627;660414;223147;234500;657000;228600;448;853;702;703;641;2652627;2660414;1223147;1234500;2657000;1228600
1082;Büron;314;3;6;537;648252;651218;227573;231117;649700;229400;482;721;545;528;512;2648252;2651218;1227573;1231117;2649700;1229400
1083;Buttisholz;314;3;6;1671;646737;652448;215233;221274;649800;218400;542;744;612;599;566;2646737;2652448;1215233;1221274;2649800;1218400
1084;Eich;314;3;6;594;652752;657630;220924;224687;655300;222500;503;750;590;575;516;2652752;2657630;1220924;1224687;2655300;1222500
1085;Geuensee;314;3;6;647;649225;653331;226738;229714;650700;227700;485;854;615;611;504;2649225;2653331;1226738;1229714;2650700;1227700
1086;Grosswangen;314;3;6;1970;643760;649728;217087;223367;646300;220400;522;747;593;577;543;2643760;2649728;1217087;1223367;2646300;1220400
1088;Hildisrieden;314;3;6;704;657902;661767;220423;223605;660000;222500;576;727;658;654;683;2657902;2661767;1220423;1223605;2660000;1222500
1089;Knutwil;314;3;6;974;646160;649698;224800;229808;648000;227800;482;631;532;520;555;2646160;2649698;1224800;1229808;2648000;1227800
1091;Mauensee;314;3;6;721;645239;649700;223071;226846;647600;224300;499;685;535;512;521;2645239;2649700;1223071;1226846;2647600;1224300
1093;Neuenkirch;314;3;6;2548;654481;660750;213352;221808;658100;216700;503;760;579;564;551;2654481;2660750;1213352;1221808;2658100;1216700
1094;Nottwil;314;3;6;1034;650299;656061;217732;222703;653000;220700;502;771;572;548;525;2650299;2656061;1217732;1222703;2653000;1220700
1095;Oberkirch;314;3;6;909;648316;653359;220999;224666;651300;223000;499;727;550;526;514;2648316;2653359;1220999;1224666;2651300;1223000
1097;Rickenbach (LU);314;3;6;1185;651920;656182;228236;233886;654200;230100;524;866;711;705;692;2651920;2656182;1228236;1233886;2654200;1230100
1098;Ruswil;314;3;6;4525;648744;657542;210498;218468;652200;215100;518;857;707;710;655;2648744;2657542;1210498;1218468;2652200;1215100
1099;Schenkon;314;3;6;675;650736;654699;223329;227618;653100;224800;493;732;565;539;521;2650736;2654699;1223329;1227618;2653100;1224800
11;Ottenbach;101;1;4;502;671862;674901;235683;238538;673000;237200;380;532;439;434;411;2671862;2674901;1235683;1238538;2673000;1237200
1100;Schlierbach;314;3;6;717;649780;653216;228521;232842;651200;230700;603;831;745;744;711;2649780;2653216;1228521;1232842;2651200;1230700
1102;Sempach;314;3;6;891;655084;659071;218944;223683;657100;220700;503;743;559;547;508;2655084;2659071;1218944;1223683;2657100;1220700
1103;Sursee;314;3;6;583;648800;652397;223774;227131;650700;224700;487;526;500;499;500;2648800;2652397;1223774;1227131;2650700;1224700
1104;Triengen;314;3;6;2209;643580;650760;228999;234868;648400;231700;473;850;606;606;516;2643580;2650760;1228999;1234868;2648400;1231700
1107;Wolhusen;316;3;6;1429;643855;649484;208824;214777;648200;212100;553;1018;727;711;570;2643855;2649484;1208824;1214777;2648200;1212100
111;Bäretswil;105;1;4;2219;704429;711666;241465;247104;707200;243800;615;1077;821;815;705;2704429;2711666;1241465;1247104;2707200;1243800
112;Bubikon;105;1;4;1161;701570;705843;233800;238901;704400;236300;475;568;517;516;521;2701570;2705843;1233800;1238901;2704400;1236300
1121;Alberswil;315;3;6;354;641021;643130;220170;223372;642700;222500;510;653;537;528;520;2641021;2643130;1220170;1223372;2642700;1222500
1122;Altbüron;315;3;6;675;631884;636315;225117;228381;633600;225600;494;726;607;606;566;2631884;2636315;1225117;1228381;2633600;1225600
1123;Altishofen;315;3;6;576;638047;640824;226450;229331;639600;228000;470;678;548;535;497;2638047;2640824;1226450;1229331;2639600;1228000
1125;Dagmersellen;315;3;6;2387;638924;646734;226720;231812;641700;229200;458;769;566;547;482;2638924;2646734;1226720;1231812;2641700;1229200
1126;Ebersecken;315;3;6;856;635982;640197;223256;227615;637300;225900;493;724;610;613;547;2635982;2640197;1223256;1227615;2637300;1225900
1127;Egolzwil;315;3;6;418;640744;644016;224829;227344;643100;226200;487;700;547;509;523;2640744;2644016;1224829;1227344;2643100;1226200
1128;Ettiswil;315;3;6;1258;642684;647213;219952;225359;643900;222200;497;691;536;519;518;2642684;2647213;1219952;1225359;2643900;1222200
1129;Fischbach;315;3;6;805;633621;637172;219738;224544;635600;222800;591;765;693;697;634;2633621;2637172;1219738;1224544;2635600;1222800
113;Dürnten;105;1;4;1022;704830;709919;235348;238575;706200;237200;461;807;560;536;510;2704830;2709919;1235348;1238575;2706200;1237200
1130;Gettnau;315;3;6;605;638335;641893;219632;222277;640200;221200;528;727;605;600;545;2638335;2641893;1219632;1222277;2640200;1221200
1131;Grossdietwil;315;3;6;1020;633117;637511;221910;228098;634000;224500;546;752;663;672;579;2633117;2637511;1221910;1228098;2634000;1224500
1132;Hergiswil bei Willisau;315;3;6;3134;636854;641829;206154;216738;639400;215000;610;1382;817;804;645;2636854;2641829;1206154;1216738;2639400;1215000
1135;Luthern;315;3;6;3776;632473;638399;206022;217246;636300;212200;653;1401;901;888;766;2632473;2638399;1206022;1217246;2636300;1212200
1136;Menznau;315;3;6;3034;640089;648996;208429;217566;645600;215000;557;1109;756;737;594;2640089;2648996;1208429;1217566;2645600;1215000
1137;Nebikon;315;3;6;373;639078;642783;225715;228089;640800;226900;479;690;542;517;487;2639078;2642783;1225715;1228089;2640800;1226900
1139;Pfaffnau;315;3;6;1768;630127;636886;227572;232666;634800;231000;436;721;546;536;504;2630127;2636886;1227572;1232666;2634800;1231000
114;Fischenthal;105;1;4;3024;709613;716900;240719;248313;712100;243400;667;1291;884;871;743;2709613;2716900;1240719;1248313;2712100;1243400
1140;Reiden;315;3;6;2703;635714;643819;227387;234737;640300;233000;446;717;557;558;456;2635714;2643819;1227387;1234737;2640300;1233000
1142;Roggliswil;315;3;6;621;631716;635487;227728;230967;633900;229100;487;704;573;571;560;2631716;2635487;1227728;1230967;2633900;1229100
1143;Schötz;315;3;6;1527;637358;644387;222040;226046;641700;224500;491;719;547;523;504;2637358;2644387;1222040;1226046;2641700;1224500
1145;Ufhusen;315;3;6;1221;632504;637201;214292;219831;634800;218600;611;860;712;709;706;2632504;2637201;1214292;1219831;2634800;1218600
1146;Wauwil;315;3;6;296;643542;645326;224832;227358;644300;226300;497;686;543;502;534;2643542;2645326;1224832;1227358;2644300;1226300
1147;Wikon;315;3;6;828;638632;643528;233833;236889;640300;234700;434;665;541;548;464;2638632;2643528;1233833;1236889;2640300;1234700
115;Gossau (ZH);105;1;4;1826;697374;703925;237016;242691;699600;240400;439;578;502;508;455;2697374;2703925;1237016;1242691;2699600;1240400
1150;Zell (LU);315;3;6;1391;634288;639434;217720;223488;636700;221000;560;782;665;666;591;2634288;2639434;1217720;1223488;2636700;1221000
1151;Willisau;315;3;6;4117;636606;645531;210452;221055;641900;219100;529;1070;680;671;558;2636606;2645531;1210452;1221055;2641900;1219100
116;Grüningen;105;1;4;878;697853;702566;235815;238863;700200;237900;450;553;504;505;492;2697853;2702566;1235815;1238863;2700200;1237900
117;Hinwil;105;1;4;2228;703226;711237;237442;242708;706400;239800;518;1116;694;668;577;2703226;2711237;1237442;1242708;2706400;1239800
118;Rüti (ZH);105;1;4;1006;705099;711015;233458;236746;707000;235300;441;778;535;507;472;2705099;2711015;1233458;1236746;2707000;1235300
119;Seegräben;105;1;4;377;699338;701506;242955;245648;700800;244300;495;582;549;550;559;2699338;2701506;1242955;1245648;2700800;1244300
12;Rifferswil;101;1;4;651;678255;682151;231473;235066;680100;232800;518;676;592;590;581;2678255;2682151;1231473;1235066;2680100;1232800
120;Wald (ZH);105;1;4;2527;709473;716175;234554;241522;711700;237200;559;1243;802;775;620;2709473;2716175;1234554;1241522;2711700;1237200
1201;Altdorf (UR);400;4;6;1021;689683;693626;190971;196116;691800;192900;429;1783;828;542;460;2689683;2693626;1190971;1196116;2691800;1192900
1202;Andermatt;400;4;6;6226;684827;695281;157689;170280;688600;165400;1286;2996;2195;2250;1440;2684827;2695281;1157689;1170280;2688600;1165400
1203;Attinghausen;400;4;6;4689;678294;691225;180689;192557;690900;190700;440;3192;1815;1864;474;2678294;2691225;1180689;1192557;2690900;1190700
1204;Bauen;400;4;6;380;685096;689060;196902;199828;686900;199000;433;1591;642;448;433;2685096;2689060;1196902;1199828;2686900;1199000
1205;Bürglen (UR);400;4;6;5306;691038;705960;189253;199842;693300;192300;446;2537;1588;1719;549;2691038;2705960;1189253;1199842;2693300;1192300
1206;Erstfeld;400;4;6;5909;682388;694934;181163;189386;692500;186300;452;3194;1663;1739;471;2682388;2694934;1181163;1189386;2692500;1186300
1207;Flüelen;400;4;6;1238;688345;694818;194237;198585;690400;195600;429;2219;1069;1038;435;2688345;2694818;1194237;1198585;2690400;1195600
1208;Göschenen;400;4;6;10415;673344;692074;163573;174529;687900;169100;992;3628;2308;2346;1100;2673344;2692074;1163573;1174529;2687900;1169100
1209;Gurtnellen;400;4;6;8331;683852;695968;169618;183857;691000;177100;486;3106;1846;1927;925;2683852;2695968;1169618;1183857;2691000;1177100
121;Wetzikon (ZH);105;1;4;1681;700145;706272;239274;245088;702700;242100;507;738;564;548;532;2700145;2706272;1239274;1245088;2702700;1242100
1210;Hospental;400;4;6;3517;681426;690167;158662;165953;686500;163700;1432;3058;2107;2105;1477;2681426;2690167;1158662;1165953;2686500;1163700
1211;Isenthal;400;4;6;6097;677696;689060;188263;198023;685500;196100;433;2950;1735;1723;778;2677696;2689060;1188263;1198023;2685500;1196100
1212;Realp;400;4;6;7784;674151;684351;153452;164473;681500;161400;1498;3583;2379;2413;1539;2674151;2684351;1153452;1164473;2681500;1161400
1213;Schattdorf;400;4;6;1633;690968;697314;187199;192005;692800;191000;448;2496;1162;1166;497;2690968;2697314;1187199;1192005;2692800;1191000
1214;Seedorf (UR);400;4;6;1548;684872;690377;188999;196387;689500;192800;433;2752;1090;1027;457;2684872;2690377;1188999;1196387;2689500;1192800
1215;Seelisberg;400;4;6;1329;684130;688740;197439;205339;687400;202700;433;2116;823;777;772;2684130;2688740;1197439;1205339;2687400;1202700
