KTNR;KTNAME;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
1;Zürich;4;172894;669244;716900;223896;283343;691800;252000;331;1291;533;504;2669244;2716900;1223896;1283343;2691800;1252000
2;Bern / Berne;2;595952;556241;677745;130585;243834;614200;185600;399;4271;1198;979;2556241;2677745;1130585;1243834;2614200;1185600
3;Luzern;6;149352;630127;681764;180569;237691;651000;213100;398;2348;770;680;2630127;2681764;1180569;1237691;2651000;1213100
4;Uri;6;107654;673344;715795;153452;205339;690800;180700;429;3628;1900;1975;2673344;2715795;1153452;1205339;2690800;1180700
5;Schwyz;6;90788;672166;718719;193657;231067;700100;213100;403;2800;1096;1053;2672166;2718719;1193657;1231067;2700100;1213100
6;Obwalden;6;49058;646044;681478;178345;203583;658700;189900;433;3238;1337;1368;2646044;2681478;1178345;1203583;2658700;1189900
7;Nidwalden;6;27585;659303;686448;180483;208075;673600;197700;431;2898;1071;986;2659303;2686448;1180483;1208075;2673600;1197700
8;Glarus;5;68531;709273;738138;183891;225967;723700;204600;410;3608;1579;1594;2709273;2738138;1183891;1225967;2723700;1204600
9;Zug;6;23873;672418;695749;215061;233506;683300;223500;386;1579;664;638;2672418;2695749;1215061;1233506;2683300;1223500
10;Fribourg / Freiburg;2;167142;546837;595531;143053;206219;573800;173100;427;2388;855;750;2546837;2595531;1143053;1206219;2573800;1173100
11;Solothurn;2;79045;592560;644759;213703;261330;618600;242300;281;1444;616;550;2592560;2644759;1213703;1261330;2618600;1242300
12;Basel-Stadt;3;3695;608732;619190;263184;272279;611300;267500;244;522;294;272;2608732;2619190;1263184;1272279;2611300;1267500
13;Basel-Landschaft;3;51767;591442;639480;243060;268190;628400;253700;244;1168;517;505;2591442;2639480;1243060;1268190;2628400;1253700
14;Schaffhausen;5;29842;672513;707982;267448;295934;684400;286200;343;912;537;514;2672513;2707982;1267448;1295934;2684400;1286200
15;Appenzell Ausserrhoden;5;24284;732375;765346;234615;259712;748800;250200;430;2501;929;907;2732375;2765346;1234615;1259712;2748800;1250200
16;Appenzell Innerrhoden;5;17248;741441;764416;233274;257039;748500;241500;538;2501;1128;1029;2741441;2764416;1233274;1257039;2748500;1241500
17;St. Gallen;5;203076;702741;768769;193270;268610;735700;223400;384;3226;981;806;2702741;2768769;1193270;1268610;2735700;1223400
18;Graubünden / Grigioni / Grischun;5;710539;692837;833841;114572;214817;767500;169500;253;4047;2020;2101;2692837;2833841;1114572;1214817;2767500;1169500
19;Aargau;3;140380;620697;676826;221173;274772;654200;251200;255;907;474;462;2620697;2676826;1221173;1274772;2654200;1251200
20;Thurgau;5;99177;692316;755679;248321;283504;724300;270000;368;990;495;482;2692316;2755679;1248321;1283504;2724300;1270000
21;Ticino;7;281220;672484;732911;75270;165701;705500;128000;192;3400;1391;1419;2672484;2732911;1075270;1165701;2705500;1128000
22;Vaud;1;321201;494307;585462;115148;204075;539300;156800;371;3210;841;684;2494307;2585462;1115148;1204075;2539300;1156800
23;Valais / Wallis;1;522460;548580;679787;78560;167429;612800;117500;243;4631;2136;2221;2548580;2679787;1078560;1167429;2612800;1117500
24;Neuchâtel;2;80216;523392;573336;188829;224026;549900;205100;421;1550;912;1004;2523392;2573336;1188829;1224026;2549900;1205100
25;Genève;1;28249;485411;512974;109645;135578;499000;119100;331;517;418;421;2485411;2512974;1109645;1135578;2499000;1119100
26;Jura;2;83851;554671;609050;222308;261608;578600;244400;363;1298;688;638;2554671;2609050;1222308;1261608;2578600;1244400
