GMDNR;GMDNAME;SEE_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;SHAPE_LE_1;SHAPE_AR_1;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
9040;Greifensee;830;691664;695945;241896;247739;693800;245200;15459.8163994;8720090.84821;2691664;2695945;1241896;1247739;2693800;1245200
9050;Zürichsee;8805;682600;714352;227657;247369;690500;235000;88407.094285;91701692.6524;2682600;2714352;1227657;1247369;2690500;1235000
9073;Thunersee;4785;614257;630110;167064;177248;621500;171200;43260.2284699;49736433.4782;2614257;2630110;1167064;1177248;2621500;1171200
9089;Brienzersee;2977;634122;646709;170864;178693;640600;175000;31492.4144976;30960485.2645;2634122;2646709;1170864;1178693;2640600;1175000
9148;Bielersee;3970;572052;584660;209652;220432;578500;213800;45416.2430025;41140120.7729;2572052;2584660;1209652;1220432;2578500;1213800
9151;Lac de Neuchâtel;21828;538531;570489;181794;206803;555600;194800;87275.1730494;221559293.743;2538531;2570489;1181794;1206803;2555600;1194800
9157;Baldeggersee;522;660947;663533;225508;229925;662200;227900;10997.475095;5635352.8955;2660947;2663533;1225508;1229925;2662200;1227900
9163;Sempachersee;1439;651767;657167;218806;224993;654300;221700;17258.5097388;14705432.5495;2651767;2657167;1218806;1224993;2654300;1221700
9172;Hallwilersee;1021;657440;660135;233026;241217;658700;237200;17751.5744356;10398582.8945;2657440;2660135;1233026;1241217;2658700;1237200
9175;Zugersee;3844;676884;682743;212835;226295;681200;215500;36176.8326842;39348241.2978;2676884;2682743;1212835;1226295;2681200;1215500
9179;Vierwaldstättersee;11385;663950;690388;193694;215056;677100;204000;123666.817569;117439557.674;2663950;2690388;1193694;1215056;2677100;1204000
9216;Sihlsee;1081;700059;704813;215726;223498;702200;220000;20577.9795851;11354161.287;2700059;2704813;1215726;1223498;2702200;1220000
9239;Sarnersee;739;657206;661416;188533;193515;659300;190900;13812.4711273;7631900.16717;2657206;2661416;1188533;1193515;2659300;1190900
9267;Walensee;2411;725905;741407;219384;222315;733600;220500;33577.2669644;25021329.5288;2725905;2741407;1219384;1222315;2733600;1220500
9270;Aegerisee;728;687237;691411;217452;221450;689500;219600;13495.7640175;7522127.34841;2687237;2691411;1217452;1221450;2689500;1219600
9276;Lac de la Gruyère;856;572489;575712;162473;174243;574100;164200;33488.4025061;10241282.3594;2572489;2575712;1162473;1174243;2574100;1164200
9294;Murtensee;2271;569130;576815;194885;200816;572800;197700;20492.0416704;23375465.1327;2569130;2576815;1194885;1200816;2572800;1197700
9326;Bodensee;17817;706675;774365;260624;297534;749600;274100;242659.708099;544291612.807;2706675;2774365;1260624;1297534;2749600;1274100
9710;Lago di Lugano;2980;710084;730594;84544;99692;720300;95000;86479.4199325;50868311.6964;2710084;2730594;1084544;1099692;2720300;1095000
9711;Lago Maggiore;4137;680819;710905;64012;115230;694100;91400;163543.124701;220995717.125;2680819;2710905;1064012;1115230;2694100;1091400
9751;Lac de Joux;879;508263;515222;162399;169125;511700;165800;20419.1390567;9502394.31073;2508263;2515222;1162399;1169125;2511700;1165800
9757;Lac Léman;34510;500392;560957;117793;152255;530600;144900;168968.765479;584090757.012;2500392;2560957;1117793;1152255;2530600;1144900
