"Kanton","Jahr","Partei","Parteistärke in %"
"Schweiz","2015","FDP/PLR (PRD)",16.40
"Schweiz","2015","CVP/PDC",11.65
"Schweiz","2015","SP/PS",18.84
"Schweiz","2015","SVP/UDC",29.39
"Schweiz","2015","LPS/PLS",...
"Schweiz","2015","LdU/AdI",...
"Schweiz","2015","EVP/PEV",1.89
"Schweiz","2015","CSP/PCS",0.21
"Schweiz","2015","GLP/PVL",4.63
"Schweiz","2015","BDP/PBD",4.10
"Schweiz","2015","PdA/PST",0.40
"Schweiz","2015","PSA",...
"Schweiz","2015","POCH",...
"Schweiz","2015","GPS/PES",7.06
"Schweiz","2015","FGA/AVF",...
"Schweiz","2015","Sol.",0.46
"Schweiz","2015","SD/DS",0.12
"Schweiz","2015","Rep./Rép.",...
"Schweiz","2015","EDU/UDF",1.19
"Schweiz","2015","FPS/PSL",...
"Schweiz","2015","Lega",1.00
"Schweiz","2015","MCR",0.32
"Schweiz","2015","Sep./Sép.",...
"Schweiz","2015","Übrige/Autres",2.35
"Schweiz","2011","FDP/PLR (PRD)",15.10
"Schweiz","2011","CVP/PDC",12.30
"Schweiz","2011","SP/PS",18.72
"Schweiz","2011","SVP/UDC",26.56
"Schweiz","2011","LPS/PLS",...
"Schweiz","2011","LdU/AdI",...
"Schweiz","2011","EVP/PEV",2.00
"Schweiz","2011","CSP/PCS",0.26
"Schweiz","2011","GLP/PVL",5.38
"Schweiz","2011","BDP/PBD",5.42
"Schweiz","2011","PdA/PST",0.54
"Schweiz","2011","PSA",...
"Schweiz","2011","POCH",...
"Schweiz","2011","GPS/PES",8.43
"Schweiz","2011","FGA/AVF",...
"Schweiz","2011","Sol.",0.34
"Schweiz","2011","SD/DS",0.20
"Schweiz","2011","Rep./Rép.",...
"Schweiz","2011","EDU/UDF",1.27
"Schweiz","2011","FPS/PSL",...
"Schweiz","2011","Lega",0.80
"Schweiz","2011","MCR",0.44
"Schweiz","2011","Sep./Sép.",...
"Schweiz","2011","Übrige/Autres",2.24
"Schweiz","2007","FDP/PLR (PRD)",15.76
"Schweiz","2007","CVP/PDC",14.48
"Schweiz","2007","SP/PS",19.55
"Schweiz","2007","SVP/UDC",28.90
"Schweiz","2007","LPS/PLS",1.85
"Schweiz","2007","LdU/AdI",...
"Schweiz","2007","EVP/PEV",2.44
"Schweiz","2007","CSP/PCS",0.43
"Schweiz","2007","GLP/PVL",1.43
"Schweiz","2007","BDP/PBD",...
"Schweiz","2007","PdA/PST",0.73
"Schweiz","2007","PSA",...
"Schweiz","2007","POCH",...
"Schweiz","2007","GPS/PES",9.59
"Schweiz","2007","FGA/AVF",0.20
"Schweiz","2007","Sol.",0.38
"Schweiz","2007","SD/DS",0.53
"Schweiz","2007","Rep./Rép.",...
"Schweiz","2007","EDU/UDF",1.28
"Schweiz","2007","FPS/PSL",0.10
"Schweiz","2007","Lega",0.58
"Schweiz","2007","MCR",0.12
"Schweiz","2007","Sep./Sép.",...
"Schweiz","2007","Übrige/Autres",1.66
"Schweiz","2003","FDP/PLR (PRD)",17.34
"Schweiz","2003","CVP/PDC",14.36
"Schweiz","2003","SP/PS",23.33
"Schweiz","2003","SVP/UDC",26.65
"Schweiz","2003","LPS/PLS",2.19
"Schweiz","2003","LdU/AdI",...
"Schweiz","2003","EVP/PEV",2.27
"Schweiz","2003","CSP/PCS",0.36
"Schweiz","2003","GLP/PVL",...
"Schweiz","2003","BDP/PBD",...
"Schweiz","2003","PdA/PST",0.70
"Schweiz","2003","PSA",...
"Schweiz","2003","POCH",...
"Schweiz","2003","GPS/PES",7.43
"Schweiz","2003","FGA/AVF",0.53
"Schweiz","2003","Sol.",0.51
"Schweiz","2003","SD/DS",0.96
"Schweiz","2003","Rep./Rép.",...
"Schweiz","2003","EDU/UDF",1.26
"Schweiz","2003","FPS/PSL",0.19
"Schweiz","2003","Lega",0.35
"Schweiz","2003","MCR",...
"Schweiz","2003","Sep./Sép.",0.26
"Schweiz","2003","Übrige/Autres",1.30
"Schweiz","1999","FDP/PLR (PRD)",19.92
"Schweiz","1999","CVP/PDC",15.85
"Schweiz","1999","SP/PS",22.47
"Schweiz","1999","SVP/UDC",22.54
"Schweiz","1999","LPS/PLS",2.26
"Schweiz","1999","LdU/AdI",0.74
"Schweiz","1999","EVP/PEV",1.83
"Schweiz","1999","CSP/PCS",0.42
"Schweiz","1999","GLP/PVL",...
"Schweiz","1999","BDP/PBD",...
"Schweiz","1999","PdA/PST",0.96
"Schweiz","1999","PSA",...
"Schweiz","1999","POCH",...
"Schweiz","1999","GPS/PES",4.97
"Schweiz","1999","FGA/AVF",0.32
"Schweiz","1999","Sol.",0.47
"Schweiz","1999","SD/DS",1.84
"Schweiz","1999","Rep./Rép.",...
"Schweiz","1999","EDU/UDF",1.25
"Schweiz","1999","FPS/PSL",0.87
"Schweiz","1999","Lega",0.88
"Schweiz","1999","MCR",...
"Schweiz","1999","Sep./Sép.",...
"Schweiz","1999","Übrige/Autres",2.41
"Schweiz","1995","FDP/PLR (PRD)",20.18
"Schweiz","1995","CVP/PDC",16.79
"Schweiz","1995","SP/PS",21.79
"Schweiz","1995","SVP/UDC",14.90
"Schweiz","1995","LPS/PLS",2.69
"Schweiz","1995","LdU/AdI",1.83
"Schweiz","1995","EVP/PEV",1.79
"Schweiz","1995","CSP/PCS",0.30
"Schweiz","1995","GLP/PVL",...
"Schweiz","1995","BDP/PBD",...
"Schweiz","1995","PdA/PST",1.20
"Schweiz","1995","PSA",...
"Schweiz","1995","POCH",...
