year,party,support
1975,1,0.006
1975,2,0.031
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.03
1975,8,0.428
1975,9,0.506
1975,10,0
1975,11,0
1975,12,0
1979,1,0.019
1979,2,0.039
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.418
1979,9,0.524
1979,10,0
1979,11,0
1979,12,0
1983,1,0.053
1983,2,0.044
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.002
1983,8,0.388
1983,9,0.497
1983,10,0
1983,11,0
1983,12,0.015
1987,1,0.069
1987,2,0.033
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.008
1987,8,0.359
1987,9,0.473
1987,10,0
1987,11,0
1987,12,0.058
1991,1,0
1991,2,0.076
1991,3,0.086
1991,4,0
1991,5,0
1991,6,0
1991,7,0.002
1991,8,0.425
1991,9,0.368
1991,10,0
1991,11,0
1991,12,0.043
1995,1,0.008
1995,2,0.075
1995,3,0.071
1995,4,0
1995,5,0
1995,6,0
1995,7,0.002
1995,8,0.274
1995,9,0.329
1995,10,0
1995,11,0.218
1995,12,0.024
1999,1,0
1999,2,0.084
1999,3,0.07
1999,4,0
1999,5,0
1999,6,0
1999,7,0.011
1999,8,0.238
1999,9,0.275
1999,10,0
1999,11,0.297
1999,12,0.024
2003,1,0
2003,2,0.089
2003,3,0.074
2003,4,0.019
2003,5,0
2003,6,0
2003,7,0.028
2003,8,0.22
2003,9,0.241
2003,10,0
2003,11,0.326
2003,12,0.004
2007,1,0
2007,2,0.081
2007,3,0.082
2007,4,0.011
2007,5,0
2007,6,0
2007,7,0.009
2007,8,0.249
2007,9,0.239
2007,10,0
2007,11,0.328
2007,12,0
2011,1,0
2011,2,0.078
2011,3,0.065
2011,4,0.004
2011,5,0.06
2011,6,0.028
2011,7,0.006
2011,8,0.233
2011,9,0.228
2011,10,0
2011,11,0.296
2011,12,0.002
2015,1,0
2015,2,0.095
2015,3,0.061
2015,4,0.008
2015,5,0.065
2015,6,0.021
2015,7,0.005
2015,8,0.18
2015,9,0.257
2015,10,0
2015,11,0.305
2015,12,0.002
