year,party,support
1975,1,0.04
1975,2,0.133
1975,3,0.022
1975,4,0
1975,5,0
1975,6,0
1975,7,0.015
1975,8,0.032
1975,9,0.58
1975,10,0
1975,11,0.16
1975,12,0.019
1979,1,0.038
1979,2,0.119
1979,3,0.1
1979,4,0
1979,5,0
1979,6,0
1979,7,0.051
1979,8,0.038
1979,9,0.575
1979,10,0
1979,11,0.081
1979,12,0
1983,1,0.051
1983,2,0.083
1983,3,0.077
1983,4,0
1983,5,0
1983,6,0
1983,7,0.02
1983,8,0.039
1983,9,0.65
1983,10,0
1983,11,0.065
1983,12,0.015
1987,1,0.055
1987,2,0.094
1987,3,0.101
1987,4,0
1987,5,0
1987,6,0
1987,7,0.017
1987,8,0.089
1987,9,0.566
1987,10,0
1987,11,0.051
1987,12,0.027
1991,1,0.058
1991,2,0.114
1991,3,0.098
1991,4,0
1991,5,0
1991,6,0
1991,7,0.029
1991,8,0.036
1991,9,0.523
1991,10,0
1991,11,0.098
1991,12,0.046
1995,1,0.098
1995,2,0.164
1995,3,0.051
1995,4,0
1995,5,0
1995,6,0
1995,7,0.03
1995,8,0.055
1995,9,0.491
1995,10,0
1995,11,0.067
1995,12,0.046
1999,1,0.035
1999,2,0.093
1999,3,0.133
1999,4,0
1999,5,0
1999,6,0
1999,7,0.04
1999,8,0.042
1999,9,0.476
1999,10,0
1999,11,0.14
1999,12,0.043
2003,1,0.034
2003,2,0.111
2003,3,0.13
2003,4,0.006
2003,5,0
2003,6,0
2003,7,0.007
2003,8,0.074
2003,9,0.384
2003,10,0
2003,11,0.246
2003,12,0.009
2007,1,0.015
2007,2,0.124
2007,3,0.146
2007,4,0.01
2007,5,0
2007,6,0
2007,7,0.042
2007,8,0.112
2007,9,0.319
2007,10,0
2007,11,0.218
2007,12,0.015
2011,1,0.006
2011,2,0.143
2011,3,0.095
2011,4,0.011
2011,5,0.089
2011,6,0.012
2011,7,0.013
2011,8,0.076
2011,9,0.253
2011,10,0
2011,11,0.285
2011,12,0.018
2015,1,0.011
2015,2,0.116
2015,3,0.083
2015,4,0.009
2015,5,0.052
2015,6,0.028
2015,7,0.016
2015,8,0.073
2015,9,0.358
2015,10,0
2015,11,0.253
2015,12,0
