year,municipality,party,support
1975,1,8,0.054
1975,2,8,0.09
1975,3,8,0.044
1975,4,8,0.062
1975,5,8,0.06
1975,6,8,0.05
1975,7,8,0.062
1975,8,8,0.018
1975,9,8,0.051
1975,10,8,0.117
1975,11,8,0.043
1975,12,8,0.064
1975,13,8,0.057
1975,14,8,0.074
1975,21,8,0.008
1975,22,8,0.024
1975,23,8,0.002
1975,24,8,0.002
1975,25,8,0.036
1975,26,8,0.012
1975,27,8,0.096
1975,28,8,0.008
1975,29,8,0.035
1975,30,8,0.018
1975,31,8,0.037
1975,32,8,0.017
1975,33,8,0.025
1975,34,8,0.04
1975,35,8,0.013
1975,36,8,0.024
1975,37,8,0.021
1975,38,8,0.165
1975,39,8,0.007
1975,40,8,0.008
1975,41,8,0
1975,42,8,0.025
1975,43,8,0.014
1975,44,8,0.001
1975,51,8,0.047
1975,52,8,0.067
1975,53,8,0.074
1975,54,8,0.07
1975,55,8,0.036
1975,56,8,0.063
1975,57,8,0.028
1975,58,8,0.038
1975,59,8,0.014
1975,60,8,0.041
1975,61,8,0.03
1975,62,8,0.103
1975,63,8,0.035
1975,64,8,0.035
1975,65,8,0.007
1975,66,8,0.116
1975,67,8,0.011
1975,68,8,0.035
1975,69,8,0.096
1975,70,8,0.003
1975,71,8,0.007
1975,72,8,0.032
1975,81,8,0.021
1975,82,8,0.031
1975,83,8,0.047
1975,84,8,0.063
1975,85,8,0.047
1975,86,8,0.07
1975,87,8,0.026
1975,88,8,0.013
1975,89,8,0.061
1975,90,8,0.093
1975,91,8,0.091
1975,92,8,0.06
1975,93,8,0.052
1975,94,8,0.042
1975,95,8,0.044
1975,96,8,0.084
1975,97,8,0.057
1975,98,8,0.049
1975,99,8,0.063
1975,100,8,0.018
1975,101,8,0.04
1975,102,8,0.031
1975,111,8,0.026
1975,112,8,0.058
1975,113,8,0.173
1975,114,8,0.047
1975,115,8,0.071
1975,116,8,0.045
1975,117,8,0.069
1975,118,8,0.167
1975,119,8,0.023
1975,120,8,0.164
1975,121,8,0.086
1975,131,8,0.122
1975,132,8,0.14
1975,133,8,0.104
1975,134,8,0.181
1975,135,8,0.092
1975,136,8,0.162
1975,137,8,0.077
1975,138,8,0.171
1975,139,8,0.091
1975,140,8,0.167
1975,141,8,0.099
1975,142,8,0.118
1975,151,8,0.099
1975,152,8,0.069
1975,153,8,0.087
1975,154,8,0.078
1975,155,8,0.095
1975,156,8,0.071
1975,157,8,0.062
1975,158,8,0.087
1975,159,8,0.07
1975,160,8,0.101
1975,161,8,0.094
1975,172,8,0.046
1975,173,8,0.016
1975,176,8,0.05
1975,177,8,0.056
1975,178,8,0.048
1975,180,8,0.035
1975,181,8,0.059
1975,182,8,0.009
1975,191,8,0.093
1975,192,8,0.1
1975,193,8,0.065
1975,194,8,0.061
1975,195,8,0.066
1975,196,8,0.062
1975,197,8,0.086
1975,198,8,0.088
1975,199,8,0.078
1975,200,8,0.048
1975,211,8,0.001
1975,213,8,0.038
1975,214,8,0.006
1975,215,8,0.023
1975,216,8,0.028
1975,217,8,0.09
1975,218,8,0.021
1975,219,8,0.037
1975,220,8,0.004
1975,221,8,0.017
1975,222,8,0.014
1975,223,8,0.034
1975,224,8,0.048
1975,225,8,0.065
1975,226,8,0.032
1975,227,8,0.066
1975,228,8,0.049
1975,230,8,0.092
1975,231,8,0.071
1975,241,8,0.075
1975,242,8,0.119
1975,243,8,0.203
1975,244,8,0.147
1975,245,8,0.121
1975,246,8,0.067
1975,247,8,0.125
1975,248,8,0.086
1975,249,8,0.086
1975,250,8,0.12
1975,251,8,0.067
1975,261,8,0.104
1975,296,8,0.067
1975,297,8,0.077
1975,298,8,0.066
1975,301,8,0.005
1975,302,8,0.002
1975,303,8,0.002
1975,304,8,0
1975,305,8,0
1975,306,8,0.01
1975,307,8,0.016
1975,309,8,0
1975,310,8,0.002
1975,311,8,0.004
1975,312,8,0.004
1975,321,8,0.009
1975,322,8,0
1975,323,8,0
1975,324,8,0
1975,325,8,0
1975,326,8,0.001
1975,329,8,0.014
1975,331,8,0.008
1975,332,8,0.001
1975,333,8,0.002
1975,334,8,0
1975,335,8,0
1975,336,8,0
1975,337,8,0.003
1975,338,8,0
1975,339,8,0
1975,340,8,0
1975,341,8,0
1975,342,8,0.007
1975,344,8,0.006
1975,345,8,0.003
1975,351,8,0.051
1975,352,8,0.052
1975,353,8,0.033
1975,354,8,0.022
1975,355,8,0.05
1975,356,8,0.039
1975,357,8,0
1975,358,8,0.02
1975,359,8,0.011
1975,360,8,0.034
1975,361,8,0.064
1975,362,8,0
1975,363,8,0
1975,371,8,0.037
1975,372,8,0.029
1975,381,8,0
1975,382,8,0.016
1975,383,8,0.007
1975,385,8,0
1975,386,8,0.006
1975,387,8,0.007
1975,388,8,0
1975,389,8,0
1975,390,8,0.002
1975,391,8,0
1975,392,8,0.011
1975,393,8,0
1975,394,8,0.001
1975,401,8,0.009
1975,402,8,0.001
1975,403,8,0.005
1975,404,8,0.013
1975,405,8,0.001
1975,406,8,0.002
1975,407,8,0.003
1975,408,8,0
1975,409,8,0.012
1975,410,8,0
1975,411,8,0
1975,412,8,0.003
1975,413,8,0.002
1975,414,8,0
1975,415,8,0.006
1975,416,8,0.016
1975,418,8,0.004
1975,420,8,0.007
1975,421,8,0
1975,422,8,0
1975,423,8,0
1975,424,8,0.001
1975,431,8,0.005
1975,432,8,0.024
1975,433,8,0.001
1975,434,8,0.023
1975,435,8,0.02
1975,437,8,0
1975,438,8,0.022
1975,441,8,0.006
1975,442,8,0.004
1975,443,8,0.044
1975,444,8,0.016
1975,445,8,0.006
1975,446,8,0.013
1975,448,8,0.014
1975,449,8,0.019
1975,450,8,0.013
1975,491,8,0
1975,492,8,0
1975,493,8,0
1975,494,8,0
1975,495,8,0
1975,496,8,0.008
1975,497,8,0.001
1975,498,8,0
1975,499,8,0
1975,500,8,0
1975,501,8,0.002
1975,502,8,0
1975,533,8,0.004
1975,535,8,0
1975,536,8,0
1975,538,8,0.009
1975,540,8,0.021
1975,541,8,0
1975,543,8,0.007
1975,544,8,0.029
1975,546,8,0.022
1975,551,8,0.009
1975,552,8,0.006
1975,553,8,0
1975,554,8,0
1975,556,8,0
1975,557,8,0
1975,561,8,0.002
1975,562,8,0
1975,563,8,0.003
1975,564,8,0.019
1975,565,8,0.006
1975,566,8,0.001
1975,567,8,0
1975,571,8,0.003
1975,572,8,0.001
1975,573,8,0.006
1975,574,8,0
1975,575,8,0
1975,576,8,0
1975,577,8,0
1975,578,8,0
1975,579,8,0
1975,580,8,0.001
1975,581,8,0.015
1975,582,8,0
1975,584,8,0
1975,585,8,0
1975,586,8,0
1975,587,8,0.018
1975,588,8,0
1975,589,8,0.003
1975,590,8,0.01
1975,591,8,0
1975,592,8,0.016
1975,593,8,0.004
1975,594,8,0.008
1975,602,8,0
1975,603,8,0.005
1975,605,8,0
1975,606,8,0
1975,607,8,0.001
1975,608,8,0.012
1975,609,8,0
1975,610,8,0
1975,611,8,0.001
1975,612,8,0.004
1975,613,8,0
1975,614,8,0
1975,615,8,0.001
1975,616,8,0.015
1975,617,8,0
1975,619,8,0.002
1975,620,8,0
1975,622,8,0
1975,623,8,0.004
1975,624,8,0.001
1975,626,8,0.003
1975,627,8,0.032
1975,628,8,0
1975,629,8,0
1975,630,8,0
1975,632,8,0.006
1975,661,8,0
1975,662,8,0.007
1975,663,8,0.002
1975,664,8,0.015
1975,665,8,0
1975,666,8,0
1975,667,8,0.031
1975,668,8,0.009
1975,669,8,0.017
1975,670,8,0.013
1975,671,8,0
1975,681,8,0.006
1975,683,8,0.001
1975,687,8,0.013
1975,690,8,0.002
1975,691,8,0.005
1975,692,8,0.012
1975,694,8,0.003
1975,696,8,0.003
1975,700,8,0.076
1975,701,8,0.011
1975,703,8,0.005
1975,704,8,0.031
1975,706,8,0.01
1975,707,8,0
1975,708,8,0.009
1975,709,8,0
1975,711,8,0
1975,713,8,0.017
1975,715,8,0.122
1975,716,8,0.011
1975,717,8,0.013
1975,723,8,0.002
1975,724,8,0
1975,726,8,0
1975,731,8,0.005
1975,732,8,0
1975,733,8,0.009
1975,734,8,0.021
1975,735,8,0
1975,736,8,0
1975,737,8,0.022
1975,738,8,0.023
1975,739,8,0.018
1975,740,8,0.008
1975,741,8,0.004
1975,742,8,0.031
1975,743,8,0.032
1975,744,8,0.006
1975,745,8,0.019
1975,746,8,0.006
1975,747,8,0
1975,748,8,0
1975,749,8,0.038
1975,750,8,0.008
1975,751,8,0.005
1975,754,8,0
1975,755,8,0.007
1975,756,8,0
1975,761,8,0
1975,762,8,0.001
1975,763,8,0.002
1975,766,8,0
1975,767,8,0.001
1975,768,8,0.007
1975,769,8,0
1975,770,8,0
1975,782,8,0
1975,783,8,0.005
1975,784,8,0
1975,785,8,0.008
1975,786,8,0
1975,791,8,0
1975,792,8,0.001
1975,793,8,0
1975,794,8,0.002
1975,841,8,0
1975,842,8,0
1975,843,8,0.004
1975,852,8,0.005
1975,853,8,0
1975,855,8,0.002
1975,861,8,0.018
1975,863,8,0
1975,865,8,0
1975,866,8,0.01
1975,867,8,0.008
1975,868,8,0
1975,869,8,0.009
1975,870,8,0.04
1975,872,8,0
1975,873,8,0.005
1975,874,8,0
1975,875,8,0
1975,876,8,0
1975,877,8,0
1975,878,8,0
1975,879,8,0.001
1975,880,8,0
1975,881,8,0.001
1975,883,8,0.003
1975,884,8,0.005
1975,885,8,0.003
1975,886,8,0.002
1975,888,8,0.007
1975,901,8,0
1975,902,8,0.013
1975,903,8,0.001
1975,904,8,0
1975,905,8,0
1975,906,8,0
1975,907,8,0
1975,908,8,0
1975,909,8,0.003
1975,921,8,0
1975,922,8,0.006
1975,923,8,0.001
1975,924,8,0
1975,925,8,0
1975,927,8,0
1975,928,8,0.005
1975,929,8,0.007
1975,931,8,0
1975,932,8,0
1975,934,8,0.008
1975,935,8,0
1975,936,8,0
1975,937,8,0.002
1975,938,8,0.002
1975,939,8,0.007
1975,940,8,0
1975,941,8,0
1975,942,8,0.026
1975,943,8,0.012
1975,944,8,0.003
1975,945,8,0
1975,946,8,0
1975,947,8,0
1975,948,8,0
1975,951,8,0
1975,952,8,0
1975,953,8,0
1975,954,8,0.01
1975,955,8,0.003
1975,956,8,0.002
1975,957,8,0.002
1975,958,8,0
1975,959,8,0
1975,960,8,0
1975,971,8,0.005
1975,972,8,0
1975,973,8,0
1975,975,8,0
1975,976,8,0
1975,977,8,0.001
1975,979,8,0.02
1975,980,8,0
1975,981,8,0.004
1975,982,8,0.019
1975,983,8,0.002
1975,985,8,0.004
1975,987,8,0.01
1975,988,8,0.001
1975,989,8,0.016
1975,990,8,0
1975,991,8,0.006
1975,992,8,0.007
1975,993,8,0.002
1975,995,8,0.004
1975,996,8,0
1975,1001,8,0.912
1975,1002,8,0.522
1975,1004,8,0.662
1975,1005,8,0.695
1975,1007,8,0.877
1975,1008,8,0.743
1975,1009,8,0.68
1975,1010,8,0.694
1975,1021,8,0.733
1975,1022,8,0.897
1975,1023,8,0.77
1975,1024,8,0.314
1975,1025,8,0.677
1975,1026,8,0.715
1975,1030,8,0.726
1975,1031,8,0.671
1975,1032,8,0.875
1975,1033,8,0.743
1975,1037,8,0.566
1975,1039,8,0.863
1975,1040,8,0.627
1975,1041,8,0.89
1975,1051,8,0.561
1975,1052,8,0.324
1975,1053,8,0.702
1975,1054,8,0.573
1975,1055,8,0.757
1975,1056,8,0.853
1975,1057,8,0.726
1975,1058,8,0.475
1975,1059,8,0.266
1975,1061,8,0.318
1975,1062,8,0.448
1975,1063,8,0.327
1975,1064,8,0.794
1975,1065,8,0.582
1975,1066,8,0.416
1975,1067,8,0.654
1975,1068,8,0.35
1975,1069,8,0.428
1975,1081,8,0.663
1975,1082,8,0.326
1975,1083,8,0.827
1975,1084,8,0.795
1975,1085,8,0.689
1975,1086,8,0.598
1975,1088,8,0.746
1975,1089,8,0.638
1975,1091,8,0.726
1975,1093,8,0.551
1975,1094,8,0.711
1975,1095,8,0.711
1975,1097,8,0.491
1975,1098,8,0.71
1975,1099,8,0.738
1975,1100,8,0.327
1975,1102,8,0.66
1975,1103,8,0.643
1975,1104,8,0.412
1975,1107,8,0.674
1975,1121,8,0.643
1975,1122,8,0.527
1975,1123,8,0.763
1975,1125,8,0.676
1975,1126,8,0.584
1975,1127,8,0.588
1975,1128,8,0.562
1975,1129,8,0.73
1975,1130,8,0.696
1975,1131,8,0.75
1975,1132,8,0.752
1975,1135,8,0.843
1975,1136,8,0.741
1975,1137,8,0.277
1975,1139,8,0.689
1975,1140,8,0.443
1975,1142,8,0.519
1975,1143,8,0.729
1975,1145,8,0.742
1975,1146,8,0.7
1975,1147,8,0.301
1975,1150,8,0.655
1975,1151,8,0.604
1975,1201,8,0.177
1975,1202,8,0.192
1975,1203,8,0.143
1975,1204,8,0.032
1975,1205,8,0.142
1975,1206,8,0.309
1975,1207,8,0.12
1975,1208,8,0.265
1975,1209,8,0.155
1975,1210,8,0.4
1975,1211,8,0.026
1975,1212,8,0.15
1975,1213,8,0.212
1975,1214,8,0.143
1975,1215,8,0.076
1975,1216,8,0.16
1975,1217,8,0.026
1975,1218,8,0.06
1975,1219,8,0.098
1975,1220,8,0.175
1975,1301,8,0.503
1975,1311,8,0.48
1975,1321,8,0.447
1975,1322,8,0.411
1975,1323,8,0.558
1975,1331,8,0.603
1975,1341,8,0.426
1975,1342,8,0.275
1975,1343,8,0.529
1975,1344,8,0.303
1975,1345,8,0.187
1975,1346,8,0.197
1975,1347,8,0.239
1975,1348,8,0.223
1975,1349,8,0.206
1975,1361,8,0.842
1975,1362,8,0.522
1975,1363,8,0.744
1975,1364,8,0.451
1975,1365,8,0.791
1975,1366,8,0.612
1975,1367,8,0.696
1975,1368,8,0.751
1975,1369,8,0.783
1975,1370,8,0.519
1975,1371,8,0.654
1975,1372,8,0.454
1975,1373,8,0.611
1975,1374,8,0.899
1975,1375,8,0.472
1975,1401,8,0.981
1975,1402,8,0.931
1975,1403,8,0.975
1975,1404,8,0.99
1975,1405,8,0.949
1975,1406,8,0.964
1975,1407,8,0.97
1975,1501,8,0.976
1975,1502,8,0.993
1975,1503,8,0.987
1975,1504,8,1
1975,1505,8,0.959
1975,1506,8,0.981
1975,1507,8,0.986
1975,1508,8,0.98
1975,1509,8,0.967
1975,1510,8,0.946
1975,1511,8,0.988
1975,1630,8,0
1975,1631,8,0
1975,1632,8,0
1975,1701,8,0.322
1975,1702,8,0.428
1975,1703,8,0.51
1975,1704,8,0.764
1975,1705,8,0.528
1975,1706,8,0.531
1975,1707,8,0.454
1975,1708,8,0.343
1975,1709,8,0.428
1975,1710,8,0.633
1975,1711,8,0.305
1975,2008,8,0.439
1975,2009,8,0.363
1975,2011,8,0.411
1975,2016,8,0.631
1975,2022,8,0.428
1975,2025,8,0.383
1975,2027,8,0.47
1975,2029,8,0.471
1975,2035,8,0.576
1975,2038,8,0.157
1975,2041,8,0.642
1975,2043,8,0.505
1975,2044,8,0.247
1975,2045,8,0.744
1975,2050,8,0.422
1975,2051,8,0.561
1975,2053,8,0.46
1975,2054,8,0.466
1975,2055,8,0.524
1975,2061,8,0.651
1975,2063,8,0.559
1975,2066,8,0.288
1975,2067,8,0.633
1975,2068,8,0.51
1975,2072,8,0.356
1975,2079,8,0.373
1975,2086,8,0.367
1975,2087,8,0.686
1975,2089,8,0.37
1975,2096,8,0.45
1975,2097,8,0.59
1975,2099,8,0.543
1975,2102,8,0.44
1975,2111,8,0.499
1975,2113,8,0.658
1975,2114,8,0.603
1975,2115,8,0.642
1975,2116,8,0.712
1975,2121,8,0.606
1975,2122,8,0.469
1975,2123,8,0.353
1975,2124,8,0.284
1975,2125,8,0.225
1975,2128,8,0.281
1975,2129,8,0.342
1975,2130,8,0.218
1975,2131,8,0.284
1975,2134,8,0.579
1975,2135,8,0.353
1975,2137,8,0.455
1975,2138,8,0.773
1975,2140,8,0.551
1975,2143,8,0.414
1975,2145,8,0.632
1975,2147,8,0.716
1975,2148,8,0.411
1975,2149,8,0.43
1975,2152,8,0.649
1975,2153,8,0.342
1975,2155,8,0.5
1975,2160,8,0.338
1975,2162,8,0.52
1975,2163,8,0.499
1975,2171,8,0.413
1975,2173,8,0.815
1975,2174,8,0.481
1975,2175,8,0.463
1975,2177,8,0.499
1975,2183,8,0.451
1975,2185,8,0.709
1975,2186,8,0.52
1975,2189,8,0.549
1975,2194,8,0.451
1975,2196,8,0.445
1975,2197,8,0.535
1975,2198,8,0.5
1975,2200,8,0.479
1975,2206,8,0.339
1975,2208,8,0.54
1975,2211,8,0.45
1975,2213,8,0.623
1975,2216,8,0.589
1975,2217,8,0.621
1975,2220,8,0.424
1975,2221,8,0.706
1975,2225,8,0.333
1975,2226,8,0.323
1975,2228,8,0.431
1975,2230,8,0.807
1975,2233,8,0.591
1975,2234,8,0.582
1975,2235,8,0.498
1975,2236,8,0.513
1975,2250,8,0.151
1975,2254,8,0.437
1975,2257,8,0.542
1975,2258,8,0.286
1975,2259,8,0.164
1975,2260,8,0.173
1975,2261,8,0.065
1975,2262,8,0.632
1975,2265,8,0.166
1975,2266,8,0
1975,2271,8,0.114
1975,2272,8,0.423
1975,2274,8,0.093
1975,2275,8,0.114
1975,2276,8,0.065
1975,2278,8,0.058
