year,support,municipality,canton,party
1975,0.368,4551,TG,8
1979,0.461,4551,TG,8
1983,0.364,4551,TG,8
1987,0.303,4551,TG,8
1991,0.212,4551,TG,8
1995,0.207,4551,TG,11
1999,0.3,4551,TG,11
2003,0.376,4551,TG,11
2007,0.417,4551,TG,11
2011,0.404,4551,TG,11
2015,0.403,4551,TG,11
1975,0.29,4001,AG,9
1979,0.32,4001,AG,9
1983,0.292,4001,AG,9
1987,0.273,4001,AG,9
1991,0.219,4001,AG,9
1995,0.256,4001,AG,2
1999,0.268,4001,AG,2
2003,0.299,4001,AG,2
2007,0.269,4001,AG,2
2011,0.264,4001,AG,2
2015,0.265,4001,AG,2
1975,0.382,301,BE,11
1979,0.396,301,BE,11
1983,0.352,301,BE,11
1987,0.352,301,BE,11
1991,0.327,301,BE,11
1995,0.307,301,BE,11
1999,0.286,301,BE,11
2003,0.289,301,BE,11
2007,0.359,301,BE,11
2011,0.333,301,BE,11
2015,0.364,301,BE,11
1975,0.375,4271,AG,2
1979,0.408,4271,AG,2
1983,0.439,4271,AG,2
1987,0.296,4271,AG,2
1991,0.265,4271,AG,2
1995,0.339,4271,AG,2
1999,0.279,4271,AG,11
2003,0.314,4271,AG,11
2007,0.326,4271,AG,11
2011,0.344,4271,AG,11
2015,0.382,4271,AG,11
1975,0.402,321,BE,11
1979,0.39,321,BE,11
1983,0.364,321,BE,11
1987,0.357,321,BE,11
1991,0.313,321,BE,11
1995,0.286,321,BE,11
1999,0.357,321,BE,11
2003,0.35,321,BE,11
2007,0.398,321,BE,11
2011,0.348,321,BE,11
2015,0.381,321,BE,11
1975,0.633,4221,AG,8
1979,0.658,4221,AG,8
1983,0.669,4221,AG,8
1987,0.629,4221,AG,8
1991,0.438,4221,AG,8
1995,0.395,4221,AG,8
1999,0.393,4221,AG,11
2003,0.386,4221,AG,11
2007,0.431,4221,AG,11
2011,0.43,4221,AG,11
2015,0.486,4221,AG,11
1975,0.357,5621,VD,9
1979,0.374,5621,VD,9
1983,0.496,5621,VD,9
1987,0.439,5621,VD,9
1991,0.406,5621,VD,9
1995,0.3,5621,VD,9
1999,0.422,5621,VD,9
2003,0.288,5621,VD,9
2007,0.247,5621,VD,2
2011,0.293,5621,VD,11
2015,0.27,5621,VD,9
1975,0.588,5048,TI,8
1979,0.443,5048,TI,8
1983,0.51,5048,TI,8
1987,0.55,5048,TI,8
1991,0.368,5048,TI,8
1995,0.399,5048,TI,8
1999,0.358,5048,TI,8
2003,0.325,5048,TI,8
2007,0.364,5048,TI,8
2011,0.348,5048,TI,8
2015,0.306,5048,TI,8
1975,0.324,561,BE,11
1979,0.351,561,BE,11
1983,0.416,561,BE,11
1987,0.37,561,BE,11
1991,0.356,561,BE,11
1995,0.359,561,BE,12
1999,0.356,561,BE,11
2003,0.349,561,BE,11
2007,0.383,561,BE,11
2011,0.417,561,BE,11
2015,0.46,561,BE,11
