year,party,support
1975,1,0.037
1975,2,0.249
1975,3,0.001
1975,4,0.02
1975,5,0
1975,6,0
1975,7,0.079
1975,8,0.211
1975,9,0.247
1975,10,0
1975,11,0.099
1975,12,0.058
1979,1,0.044
1979,2,0.244
1979,3,0.006
1979,4,0.022
1979,5,0
1979,6,0
1979,7,0.064
1979,8,0.213
1979,9,0.268
1979,10,0
1979,11,0.116
1979,12,0.022
1983,1,0.046
1983,2,0.228
1983,3,0.019
1983,4,0.021
1983,5,0
1983,6,0
1983,7,0.072
1983,8,0.202
1983,9,0.261
1983,10,0
1983,11,0.111
1983,12,0.038
1987,1,0.05
1987,2,0.184
1987,3,0.049
1987,4,0.019
1987,5,0
1987,6,0
1987,7,0.071
1987,8,0.196
1987,9,0.256
1987,10,0
1987,11,0.11
1987,12,0.064
1991,1,0.028
1991,2,0.185
1991,3,0.061
1991,4,0.019
1991,5,0
1991,6,0
1991,7,0.059
1991,8,0.18
1991,9,0.24
1991,10,0.014
1991,11,0.119
1991,12,0.095
1995,1,0.03
1995,2,0.218
1995,3,0.05
1995,4,0.018
1995,5,0
1995,6,0
1995,7,0.045
1995,8,0.168
1995,9,0.229
1995,10,0.009
1995,11,0.149
1995,12,0.084
1999,1,0.017
1999,2,0.225
1999,3,0.05
1999,4,0.018
1999,5,0
1999,6,0
1999,7,0.036
1999,8,0.158
1999,9,0.222
1999,10,0.009
1999,11,0.225
1999,12,0.04
2003,1,0.017
2003,2,0.233
2003,3,0.074
2003,4,0.023
2003,5,0
2003,6,0
2003,7,0.019
2003,8,0.144
2003,9,0.195
2003,10,0.003
2003,11,0.266
2003,12,0.024
2007,1,0.013
2007,2,0.196
2007,3,0.096
2007,4,0.024
2007,5,0.014
2007,6,0
2007,7,0.021
2007,8,0.145
2007,9,0.176
2007,10,0.006
2007,11,0.289
2007,12,0.02
2011,1,0.009
2011,2,0.187
2011,3,0.084
2011,4,0.02
2011,5,0.054
2011,6,0.054
2011,7,0.025
2011,8,0.123
2011,9,0.151
2011,10,0.008
2011,11,0.266
2011,12,0.019
2015,1,0.009
2015,2,0.188
2015,3,0.071
2015,4,0.019
2015,5,0.046
2015,6,0.041
2015,7,0.026
2015,8,0.116
2015,9,0.164
2015,10,0.01
2015,11,0.294
2015,12,0.016
